Region,Country,Target,Indicator Number,Indicator Name,Year,Value,Metadata
Latin America and the Caribbean,Dominica,Education 2030 FFA,Education 2030 FFA,Government expenditure on education as a percentage of GDP (%),2020,4.70,
Latin America and the Caribbean,Dominica,Education 2030 FFA,Education 2030 FFA,Government expenditure on education as a percentage of GDP (%),2015,3.41,
Latin America and the Caribbean,Dominica,4.2,4.2.4,"Net enrolment rate, early childhood education, female (%)",2020,28.41,
Latin America and the Caribbean,Dominica,Education 2030 FFA,Education 2030 FFA,Government expenditure on education as a percentage of GDP (%),2018,5.15,SOURCE:  2019/2020 Estimates of the Commonwealth of Dominica (https://finance.gov.dm/images/documents/estimates/2019_2020_draft_estimates.pdf)
Latin America and the Caribbean,Dominica,Education 2030 FFA,Education 2030 FFA,Government expenditure on education as a percentage of GDP (%),2021,5.47,SOURCE:  Budget Address for Fiscal Year (https://finance.gov.dm/budget/budget-addresses/file/36-budget-address-2020-2021-the-road-to-dynamic-dominica-fostering-economic-resilience-by-hon-roosevelt-skerrit)
Latin America and the Caribbean,Dominica,4.2,4.2.4,"Net enrolment rate, early childhood education, male (%)",2019,26.47,
Europe and Northern America,Denmark,4.1,4.1.4,"Out-of-school rate for children of primary school age, female (%)",2015,0.45,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,4.2,4.2.4,"Net enrolment rate, early childhood education, male (%)",2018,77.38,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,4.1,4.1.4,"Out-of-school rate for children of primary school age, both sexes (%)",2021,0.47,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,4.1,4.1.2,"Completion rate, primary education, female (%)",2018,100.00,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Europe and Northern America,Denmark,4.5,4.5.6,"Expenditure on education (public, households, ODA) as a percentage of GDP",2014,7.99,SOURCE: UIS estimate based on data available for each sub-indicator
Europe and Northern America,Denmark,4.5,4.5.6,Initial private expenditure on education (household) as a percentage of GDP (%),2018,0.37,SOURCE: OECD data
Europe and Northern America,Denmark,4.1,4.1.4,"Out-of-school rate for children of primary school age, both sexes (%)",2015,0.63,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,4.5,4.5.6,Initial government expenditure on education as a percentage of GDP (%),2013,8.49,SOURCE: UIS/UOE data; int'l transfers subtracted using OECD CRS
Europe and Northern America,Denmark,4.5,4.5.6,"Expenditure on education (public, households, ODA) as a percentage of GDP",2017,7.46,SOURCE: UIS estimate based on data available for each sub-indicator
Europe and Northern America,Denmark,4.1,4.1.4,"Out-of-school rate for children of primary school age, male (%)",2021,0.52,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,4.5,4.5.6,"Expenditure on education (public, private, international) as a percentage of GDP",2016,7.98,SOURCE: UIS estimate based on data available for each sub-indicator
Europe and Northern America,Denmark,4.1,4.1.2,"Completion rate, primary education, female (%)",2013,100.00,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Europe and Northern America,Denmark,4.1,4.1.2,"Completion rate, primary education, female (%)",2015,100.00,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Europe and Northern America,Denmark,4.1,4.1.2,"Completion rate, primary education, male (%)",2017,100.00,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Europe and Northern America,Denmark,4.1,4.1.2,"Completion rate, primary education, male (%)",2013,100.00,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Europe and Northern America,Denmark,4.1,4.1.4,"Out-of-school rate for children of primary school age, female (%)",2016,0.64,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,4.2,4.2.4,"Net enrolment rate, pre-primary, female (%)",2013,94.72,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,4.2,4.2.4,"Net enrolment rate, early childhood education, female (%)",2020,75.91,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,4.2,4.2.4,"Net enrolment rate, pre-primary, female (%)",2014,95.57,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,4.2,4.2.4,"Net enrolment rate, early childhood education, both sexes (%)",2019,75.96,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,4.1,4.1.4,"Out-of-school rate for children of primary school age, male (%)",2013,0.55,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,4.1,4.1.2,"Completion rate, primary education, male (%)",2018,100.00,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Europe and Northern America,Denmark,4.1,4.1.2,"Completion rate, primary education, female (%)",2020,100.00,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Europe and Northern America,Denmark,Education 2030 FFA,Education 2030 FFA,Government expenditure on education as a percentage of GDP (%),2016,7.48,
Europe and Northern America,Denmark,4.2,4.2.4,"Net enrolment rate, early childhood education, both sexes (%)",2021,75.50,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,4.2,4.2.4,"Net enrolment rate, early childhood education, both sexes (%)",2018,77.10,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,4.1,4.1.2,"Completion rate, primary education, male (%)",2020,100.00,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Europe and Northern America,Denmark,4.5,4.5.6,International expenditure on education as a percentage of GDP (%),2014,0.00,SOURCE: OECD CRS data (0 is either 0 or not reported); UIS/UOE data and OECD CRS data
Europe and Northern America,Denmark,1.a,1.a.2,Expenditure on education as a percentage of total government expenditure (%),2020,11.92,SOURCE: IMF; indicator GEETO_G14_PT: COFOG Function Name=Expenditure on education; Sector Name: General government; Unit Name=Percent of total expenditure; downloaded from https://data.imf.org on 9 August 2023
Europe and Northern America,Denmark,4.2,4.2.4,"Net enrolment rate, early childhood education, both sexes (%)",2016,77.74,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,4.2,4.2.4,"Net enrolment rate, early childhood education, female (%)",2017,76.18,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,4.2,4.2.4,"Net enrolment rate, pre-primary, both sexes (%)",2019,96.37,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,4.2,4.2.4,"Net enrolment rate, pre-primary, female (%)",2017,96.45,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,4.2,4.2.4,"Net enrolment rate, pre-primary, male (%)",2014,93.90,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,4.2,4.2.4,"Net enrolment rate, pre-primary, male (%)",2020,96.49,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,4.2,4.2.4,"Net enrolment rate, pre-primary, male (%)",2021,95.99,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,4.2,4.2.4,"Net enrolment rate, early childhood education, male (%)",2013,79.63,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,4.2,4.2.4,"Net enrolment rate, pre-primary, both sexes (%)",2021,95.91,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,4.1,4.1.4,"Out-of-school rate for children of primary school age, female (%)",2018,0.33,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,4.2,4.2.4,"Net enrolment rate, early childhood education, female (%)",2019,75.86,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,4.1,4.1.4,"Out-of-school rate for children of primary school age, male (%)",2017,0.62,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,4.5,4.5.6,Initial government expenditure on education as a percentage of GDP (%),2020,7.39,SOURCE: UIS/UOE data
Europe and Northern America,Denmark,4.1,4.1.2,"Completion rate, primary education, female (%)",2017,100.00,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Europe and Northern America,Denmark,4.2,4.2.4,"Net enrolment rate, early childhood education, both sexes (%)",2015,78.78,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,4.2,4.2.4,"Net enrolment rate, pre-primary, female (%)",2021,95.83,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,4.5,4.5.6,Initial private expenditure on education (household) as a percentage of GDP (%),2017,0.35,SOURCE: OECD data
Europe and Northern America,Denmark,4.1,4.1.2,"Completion rate, primary education, both sexes (%)",2013,100.00,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Europe and Northern America,Denmark,4.2,4.2.4,"Net enrolment rate, pre-primary, both sexes (%)",2018,98.09,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,4.1,4.1.4,"Out-of-school rate for children of primary school age, male (%)",2019,0.43,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,4.1,4.1.4,"Out-of-school rate for children of primary school age, male (%)",2018,0.43,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,4.2,4.2.4,"Net enrolment rate, pre-primary, both sexes (%)",2013,94.96,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,Education 2030 FFA,Education 2030 FFA,Government expenditure on education as a percentage of GDP (%),2020,7.39,
Europe and Northern America,Denmark,4.5,4.5.6,Initial government expenditure on education as a percentage of GDP (%),2018,7.00,SOURCE: UIS/UOE data
Europe and Northern America,Denmark,4.1,4.1.4,"Out-of-school rate for children of primary school age, both sexes (%)",2019,0.40,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,4.2,4.2.4,"Net enrolment rate, pre-primary, both sexes (%)",2017,96.63,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,4.2,4.2.4,"Net enrolment rate, pre-primary, both sexes (%)",2014,94.71,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,4.1,4.1.4,"Out-of-school rate for children of primary school age, male (%)",2016,0.72,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,1.a,1.a.2,Expenditure on education as a percentage of total government expenditure (%),2017,12.74,SOURCE: IMF; indicator GEETO_G14_PT: COFOG Function Name=Expenditure on education; Sector Name: General government; Unit Name=Percent of total expenditure; downloaded from https://data.imf.org on 9 August 2023
Europe and Northern America,Denmark,4.5,4.5.6,"Expenditure on education (public, households, ODA) as a percentage of GDP",2019,7.30,SOURCE: UIS estimate based on data available for each sub-indicator
Europe and Northern America,Denmark,4.2,4.2.4,"Net enrolment rate, pre-primary, male (%)",2015,95.25,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,4.1,4.1.4,"Out-of-school rate for children of primary school age, female (%)",2021,0.42,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,4.2,4.2.4,"Net enrolment rate, pre-primary, female (%)",2020,96.17,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,4.5,4.5.6,"Expenditure on education (public, private, international) as a percentage of GDP",2018,7.58,SOURCE: UIS estimate based on data available for each sub-indicator
Europe and Northern America,Denmark,4.2,4.2.4,"Net enrolment rate, early childhood education, female (%)",2014,80.08,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,4.2,4.2.4,"Net enrolment rate, pre-primary, male (%)",2013,95.20,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,4.1,4.1.2,"Completion rate, primary education, female (%)",2019,100.00,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Europe and Northern America,Denmark,Education 2030 FFA,Education 2030 FFA,Government expenditure on education as a percentage of GDP (%),2019,6.91,
Europe and Northern America,Denmark,4.2,4.2.4,"Net enrolment rate, early childhood education, male (%)",2021,75.63,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,1.a,1.a.2,Expenditure on education as a percentage of total government expenditure (%),2021,11.89,SOURCE: IMF; indicator GEETO_G14_PT: COFOG Function Name=Expenditure on education; Sector Name: General government; Unit Name=Percent of total expenditure; downloaded from https://data.imf.org on 9 August 2023
Europe and Northern America,Denmark,4.1,4.1.4,"Out-of-school rate for children of primary school age, male (%)",2020,0.41,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,Education 2030 FFA,Education 2030 FFA,Government expenditure on education as a percentage of GDP (%),2013,8.49,
Europe and Northern America,Denmark,1.a,1.a.2,Expenditure on education as a percentage of total government expenditure (%),2013,12.33,SOURCE: IMF; indicator GEETO_G14_PT: COFOG Function Name=Expenditure on education; Sector Name: General government; Unit Name=Percent of total expenditure; downloaded from https://data.imf.org on 9 August 2023
Europe and Northern America,Denmark,4.2,4.2.4,"Net enrolment rate, pre-primary, male (%)",2019,96.47,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,4.2,4.2.4,"Net enrolment rate, early childhood education, male (%)",2015,78.66,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,4.1,4.1.2,"Completion rate, primary education, both sexes (%)",2014,100.00,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Europe and Northern America,Denmark,4.1,4.1.2,"Completion rate, primary education, both sexes (%)",2017,100.00,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Europe and Northern America,Denmark,4.2,4.2.4,"Net enrolment rate, pre-primary, female (%)",2019,96.27,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,4.1,4.1.2,"Completion rate, primary education, male (%)",2016,100.00,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Europe and Northern America,Denmark,4.1,4.1.4,"Out-of-school rate for children of primary school age, both sexes (%)",2020,0.36,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,4.1,4.1.2,"Completion rate, primary education, both sexes (%)",2018,100.00,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Europe and Northern America,Denmark,Education 2030 FFA,Education 2030 FFA,Government expenditure on education as a percentage of GDP (%),2014,7.63,
Europe and Northern America,Denmark,4.1,4.1.2,"Completion rate, primary education, male (%)",2019,100.00,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Europe and Northern America,Denmark,4.2,4.2.4,"Net enrolment rate, pre-primary, male (%)",2018,98.30,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,4.5,4.5.6,Initial government expenditure on education as a percentage of GDP (%),2017,7.12,SOURCE: UIS/UOE data
Europe and Northern America,Denmark,4.2,4.2.4,"Net enrolment rate, early childhood education, male (%)",2014,79.18,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,4.5,4.5.6,"Expenditure on education (public, households, ODA) as a percentage of GDP",2016,7.81,SOURCE: UIS estimate based on data available for each sub-indicator
Europe and Northern America,Denmark,4.2,4.2.4,"Net enrolment rate, early childhood education, both sexes (%)",2013,79.45,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,4.2,4.2.4,"Net enrolment rate, early childhood education, male (%)",2017,76.39,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,4.1,4.1.2,"Completion rate, primary education, both sexes (%)",2015,100.00,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Europe and Northern America,Denmark,4.5,4.5.6,International expenditure on education as a percentage of GDP (%),2019,0.00,SOURCE: OECD CRS data (0 is either 0 or not reported); UIS/UOE data and OECD CRS data
Europe and Northern America,Denmark,4.1,4.1.2,"Completion rate, primary education, female (%)",2016,100.00,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Europe and Northern America,Denmark,4.5,4.5.6,Initial private expenditure on education (household) as a percentage of GDP (%),2020,0.42,
Europe and Northern America,Denmark,4.1,4.1.4,"Out-of-school rate for children of primary school age, female (%)",2020,0.29,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,4.2,4.2.4,"Net enrolment rate, pre-primary, both sexes (%)",2020,96.33,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,4.2,4.2.4,"Net enrolment rate, pre-primary, both sexes (%)",2016,96.37,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,4.1,4.1.4,"Out-of-school rate for children of primary school age, female (%)",2014,0.40,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,4.1,4.1.4,"Out-of-school rate for children of primary school age, both sexes (%)",2017,0.56,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,Education 2030 FFA,Education 2030 FFA,Government expenditure on education as a percentage of GDP (%),2018,7.00,
Europe and Northern America,Denmark,4.1,4.1.4,"Out-of-school rate for children of primary school age, both sexes (%)",2014,0.62,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,4.1,4.1.4,"Out-of-school rate for children of primary school age, both sexes (%)",2018,0.38,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,4.5,4.5.6,"Expenditure on education (public, households, ODA) as a percentage of GDP",2018,7.37,SOURCE: UIS estimate based on data available for each sub-indicator
Europe and Northern America,Denmark,4.5,4.5.6,International expenditure on education as a percentage of GDP (%),2016,0.00,SOURCE: OECD CRS data (0 is either 0 or not reported); UIS/UOE data and OECD CRS data
Europe and Northern America,Denmark,1.a,1.a.2,Expenditure on education as a percentage of total government expenditure (%),2016,12.95,SOURCE: IMF; indicator GEETO_G14_PT: COFOG Function Name=Expenditure on education; Sector Name: General government; Unit Name=Percent of total expenditure; downloaded from https://data.imf.org on 9 August 2023
Europe and Northern America,Denmark,4.5,4.5.6,Initial private expenditure on education (household) as a percentage of GDP (%),2016,0.33,SOURCE: OECD data
Europe and Northern America,Denmark,4.1,4.1.4,"Out-of-school rate for children of primary school age, both sexes (%)",2016,0.68,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,4.5,4.5.6,Initial government expenditure on education as a percentage of GDP (%),2016,7.48,SOURCE: UIS/UOE data
Europe and Northern America,Denmark,4.2,4.2.4,"Net enrolment rate, pre-primary, female (%)",2018,97.88,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,4.5,4.5.6,Initial government expenditure on education as a percentage of GDP (%),2014,7.63,SOURCE: UIS/UOE data
Europe and Northern America,Denmark,4.1,4.1.4,"Out-of-school rate for children of primary school age, both sexes (%)",2013,0.50,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,4.2,4.2.4,"Net enrolment rate, pre-primary, female (%)",2015,95.83,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,4.1,4.1.2,"Completion rate, primary education, both sexes (%)",2016,100.00,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Europe and Northern America,Denmark,4.2,4.2.4,"Net enrolment rate, early childhood education, both sexes (%)",2020,75.97,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,4.2,4.2.4,"Net enrolment rate, early childhood education, both sexes (%)",2017,76.29,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,4.2,4.2.4,"Net enrolment rate, pre-primary, male (%)",2016,96.56,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,4.1,4.1.4,"Out-of-school rate for children of primary school age, female (%)",2019,0.38,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,4.1,4.1.4,"Out-of-school rate for children of primary school age, female (%)",2017,0.50,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,4.5,4.5.6,"Expenditure on education (public, private, international) as a percentage of GDP",2014,8.08,SOURCE: UIS estimate based on data available for each sub-indicator
Europe and Northern America,Denmark,Education 2030 FFA,Education 2030 FFA,Government expenditure on education as a percentage of GDP (%),2021,6.04,SOURCE: IMF; indicator GEE_G14_GDP_PT: COFOG Function Name=Expenditure on education; Sector Name: General government; Unit Name=Percent of GDP; downloaded from https://data.imf.org on 9 August 2023
Europe and Northern America,Denmark,4.2,4.2.4,"Net enrolment rate, early childhood education, female (%)",2015,78.90,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,4.2,4.2.4,"Net enrolment rate, pre-primary, both sexes (%)",2015,95.53,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,4.1,4.1.2,"Completion rate, primary education, both sexes (%)",2020,100.00,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Europe and Northern America,Denmark,4.2,4.2.4,"Net enrolment rate, early childhood education, female (%)",2021,75.35,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,1.a,1.a.2,Expenditure on education as a percentage of total government expenditure (%),2018,12.65,SOURCE: IMF; indicator GEETO_G14_PT: COFOG Function Name=Expenditure on education; Sector Name: General government; Unit Name=Percent of total expenditure; downloaded from https://data.imf.org on 9 August 2023
Europe and Northern America,Denmark,4.5,4.5.6,Initial government expenditure on education as a percentage of GDP (%),2019,6.91,SOURCE: UIS/UOE data
Europe and Northern America,Denmark,4.5,4.5.6,"Expenditure on education (public, private, international) as a percentage of GDP",2019,7.53,SOURCE: UIS estimate based on data available for each sub-indicator
Europe and Northern America,Denmark,4.5,4.5.6,International expenditure on education as a percentage of GDP (%),2013,0.00,SOURCE: OECD CRS data (0 is either 0 or not reported); UIS/UOE data and OECD CRS data
Europe and Northern America,Denmark,4.1,4.1.2,"Completion rate, primary education, male (%)",2015,100.00,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Europe and Northern America,Denmark,4.2,4.2.4,"Net enrolment rate, early childhood education, male (%)",2016,77.87,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,4.2,4.2.4,"Net enrolment rate, early childhood education, male (%)",2019,76.06,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,4.2,4.2.4,"Net enrolment rate, pre-primary, female (%)",2016,96.17,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,4.5,4.5.6,International expenditure on education as a percentage of GDP (%),2020,0.00,SOURCE: OECD CRS data (0 is either 0 or not reported); UIS/UOE data and OECD CRS data
Europe and Northern America,Denmark,4.2,4.2.4,"Net enrolment rate, early childhood education, female (%)",2018,76.80,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,4.2,4.2.4,"Net enrolment rate, early childhood education, both sexes (%)",2014,79.62,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,4.5,4.5.6,"Expenditure on education (public, private, international) as a percentage of GDP",2017,7.64,SOURCE: UIS estimate based on data available for each sub-indicator
Europe and Northern America,Denmark,4.5,4.5.6,Initial private expenditure on education (household) as a percentage of GDP (%),2014,0.36,SOURCE: UIS/UOE data
Europe and Northern America,Denmark,4.2,4.2.4,"Net enrolment rate, early childhood education, female (%)",2016,77.62,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,1.a,1.a.2,Expenditure on education as a percentage of total government expenditure (%),2019,12.74,SOURCE: IMF; indicator GEETO_G14_PT: COFOG Function Name=Expenditure on education; Sector Name: General government; Unit Name=Percent of total expenditure; downloaded from https://data.imf.org on 9 August 2023
Europe and Northern America,Denmark,1.a,1.a.2,Expenditure on education as a percentage of total government expenditure (%),2014,12.91,SOURCE: IMF; indicator GEETO_G14_PT: COFOG Function Name=Expenditure on education; Sector Name: General government; Unit Name=Percent of total expenditure; downloaded from https://data.imf.org on 9 August 2023
Europe and Northern America,Denmark,4.1,4.1.4,"Out-of-school rate for children of primary school age, female (%)",2013,0.43,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,4.2,4.2.4,"Net enrolment rate, pre-primary, male (%)",2017,96.81,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,4.2,4.2.4,"Net enrolment rate, early childhood education, female (%)",2013,79.26,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,4.1,4.1.2,"Completion rate, primary education, both sexes (%)",2019,100.00,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Europe and Northern America,Denmark,4.1,4.1.4,"Out-of-school rate for children of primary school age, male (%)",2014,0.83,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,Education 2030 FFA,Education 2030 FFA,Government expenditure on education as a percentage of GDP (%),2017,7.12,
Europe and Northern America,Denmark,4.1,4.1.2,"Completion rate, primary education, male (%)",2014,100.00,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Europe and Northern America,Denmark,4.2,4.2.4,"Net enrolment rate, early childhood education, male (%)",2020,76.03,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,1.a,1.a.2,Expenditure on education as a percentage of total government expenditure (%),2015,12.86,SOURCE: IMF; indicator GEETO_G14_PT: COFOG Function Name=Expenditure on education; Sector Name: General government; Unit Name=Percent of total expenditure; downloaded from https://data.imf.org on 9 August 2023
Europe and Northern America,Denmark,4.1,4.1.4,"Out-of-school rate for children of primary school age, male (%)",2015,0.79,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Denmark,4.5,4.5.6,International expenditure on education as a percentage of GDP (%),2018,0.00,SOURCE: OECD CRS data (0 is either 0 or not reported); UIS/UOE data and OECD CRS data
Europe and Northern America,Denmark,4.5,4.5.6,International expenditure on education as a percentage of GDP (%),2017,0.00,SOURCE: OECD CRS data (0 is either 0 or not reported); UIS/UOE data and OECD CRS data
Europe and Northern America,Denmark,4.5,4.5.6,Initial private expenditure on education (household) as a percentage of GDP (%),2019,0.39,SOURCE: OECD data
Europe and Northern America,Denmark,Education 2030 FFA,Education 2030 FFA,Government expenditure on education as a percentage of GDP (%),2015,7.01,SOURCE: IMF; indicator GEE_G14_GDP_PT: COFOG Function Name=Expenditure on education; Sector Name: General government; Unit Name=Percent of GDP; downloaded from https://data.imf.org on 9 August 2023
Europe and Northern America,Denmark,4.1,4.1.2,"Completion rate, primary education, female (%)",2014,100.00,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Latin America and the Caribbean,Dominican Republic,4.2,4.2.4,"Net enrolment rate, early childhood education, both sexes (%)",2016,47.21,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Latin America and the Caribbean,Dominican Republic,4.2,4.2.4,"Net enrolment rate, early childhood education, male (%)",2016,46.42,QUALIFIER: This data point is a NATIONAL ESTIMATE.
